1,146,1,1,0,
2,146-152,1,0,1,
3,152,1,1,0,
4,155-166,1,0,1,
5,158,1,1,0,
6,158-164,1,0,1,
7,164,1,1,0,
8,167-178,1,0,1,
9,170,1,1,0,
10,170-176,1,0,1,
11,176,1,1,0,
12,179-190,1,0,1,
13,182,1,1,0,
14,182-188,1,0,1,
15,188,1,1,0,
16,191-200,1,0,1,
17,194,1,1,0,
18,194-200,1,0,1,
19,200,1,1,0,
20,201-210,1,0,1,
30,38,2,1,1,76
31,40,2,1,1,80
32,40-42,2,0,1,80-84
33,42,2,1,1,84
34,44,2,1,1,88
35,44-46,2,0,1,88-92
36,46,2,1,1,92
37,48,2,1,1,96
38,48-50,2,0,1,96-100
39,50,2,1,1,100
40,50-52,2,0,1,100-104
41,52,2,1,1,104
42,52-54,2,0,1,104-108
43,54,2,1,1,108
44,56,2,1,1,112
45,56-58,2,0,1,112-116
46,58,2,1,1,116
47,58-60,2,0,1,116-120
48,60,2,1,1,120
49,60-62,2,0,1,120-124
50,62,2,1,1,124
51,62-64,2,0,1,124-128
52,64,2,1,1,128
53,64-66,2,0,1,128-132
54,66,2,1,1,132
55,68,2,1,1,136
56,68-70,2,0,1,136-140
57,70,2,1,1,140
58,72,2,1,1,144
59,72-74,2,0,1,144-148
60,74,2,1,1,148
61,74-76,2,0,1,148-152
62,76,2,1,1,152
63,76-78,2,0,1,152-156
64,78,2,1,1,156
65,80,2,1,1,160
66,80-82,2,0,1,160-164
67,82,2,1,1,164
68,XXS,2,0,1,
69,XS,2,0,1,
70,S,2,0,1,
71,M,2,0,1,
72,L,2,0,1,
73,XL,2,0,1,
74,XXL,2,0,1,
75,XXXL,2,0,1,
76,4XL,2,0,1,
77,5XL,2,0,1,
78,42-44,2,0,1,84-88
79,46-48,2,0,1,92-96
80,54-56,2,0,1,108-112
90,38,3,1,1,76
91,40,3,1,1,80
92,40-42,3,0,1,80-84
93,42,3,1,1,84
94,44,3,1,1,88
95,44-46,3,0,1,88-92
96,46,3,1,1,92
97,48,3,1,1,96
98,48-50,3,0,1,96-100
99,50,3,1,1,100
100,50-52,3,0,1,100-104
101,52,3,1,1,104
102,52-54,3,0,1,104-108
103,54,3,1,1,108
104,56,3,1,1,112
105,56-58,3,0,1,112-116
106,58,3,1,1,116
107,58-60,3,0,1,116-120
108,60,3,1,1,120
109,60-62,3,0,1,120-124
110,62,3,1,1,124
111,62-64,3,0,1,124-128
112,64,3,1,1,128
113,64-66,3,0,1,128-132
114,66,3,1,1,132
115,68,3,1,1,136
116,68-70,3,0,1,136-140
117,70,3,1,1,140
118,72,3,1,1,144
119,72-74,3,0,1,144-148
120,74,3,1,1,148
121,74-76,3,0,1,148-152
122,76,3,1,1,152
123,76-78,3,0,1,152-156
124,78,3,1,1,156
125,80,3,1,1,160
126,80-82,3,0,1,160-164
127,82,3,1,1,164
128,XXS,3,0,1,
129,XS,3,0,1,
130,S,3,0,1,
131,M,3,0,1,
132,L,3,0,1,
133,XL,3,0,1,
134,XXL,3,0,1,
135,XXXL,3,0,1,
136,4XL,3,0,1,
137,5XL,3,0,1,
138,42-44,3,0,1,84-88
139,46-48,3,0,1,92-96
140,54-56,3,0,1,108-112
150,34,4,1,1,
151,34-35,4,0,1,
152,35,4,1,1,
153,36,4,1,1,
154,36-37,4,0,1,
155,37,4,1,1,
156,38,4,1,1,
157,38-39,4,0,1,
158,39,4,1,1,
159,40,4,1,1,
160,40-41,4,0,1,
161,41,4,1,1,
162,42,4,1,1,
163,42-43,4,0,1,
164,43,4,1,1,
165,44,4,1,1,
166,44-45,4,0,1,
167,45,4,1,1,
168,46,4,1,1,
169,46-47,4,0,1,
170,47,4,1,1,
171,48,4,1,1,
172,49,4,1,1,
173,50,4,1,1,
190,34,5,1,1,
191,34-35,5,0,1,
192,35,5,1,1,
193,36,5,1,1,
194,36-37,5,0,1,
195,37,5,1,1,
196,38,5,1,1,
197,38-39,5,0,1,
198,39,5,1,1,
199,40,5,1,1,
200,40-41,5,0,1,
201,41,5,1,1,
202,42,5,1,1,
203,42-43,5,0,1,
204,43,5,1,1,
205,44,5,1,1,
206,44-45,5,0,1,
207,45,5,1,1,
208,46,5,1,1,
209,46-47,5,0,1,
210,47,5,1,1,
211,48,5,1,1,
212,49,5,1,1,
213,50,5,1,1,
230,54,6,1,1,
231,55,6,1,1,
232,56,6,1,1,
233,57,6,1,1,
234,58,6,1,1,
235,58-60,6,0,1,
236,59,6,1,1,
237,59-60,6,0,1,
238,60,6,1,1,
239,61,6,1,1,
240,62,6,1,1,
241,63,6,1,1,
242,64,6,1,1,
243,65,6,1,1,
270,6,7,1,1,
271,"6,5",7,1,1,
272,7,7,1,1,
273,"7,5",7,1,1,
274,8,7,1,1,
275,"8,5",7,1,1,
276,"8,5-9",7,0,1,
277,9,7,1,1,
278,"9,5",7,1,1,
279,10,7,1,1,
280,"10,5",7,1,1,
281,11,7,1,1,
282,"11,5",7,1,1,
283,12,7,1,1,
284,13,7,1,1,
300,1,8,1,1,
301,2,8,1,1,
302,3,8,1,1,
310,54,9,1,1,
311,55,9,1,1,
312,56,9,1,1,
313,57,9,1,1,
314,58,9,1,1,
315,58-60,9,0,1,
316,59,9,1,1,
317,59-60,9,0,1,
318,60,9,1,1,
319,61,9,1,1,
320,62,9,1,1,
321,63,9,1,1,
322,64,9,1,1,
323,65,9,1,1,
330,1,10,1,1,
331,2,10,1,1,
332,3,10,1,1,
333,4,10,1,1,
340,1,11,1,1,
341,2,11,1,1,
342,3,11,1,1,
343,4,11,1,1,
350,23,12,1,0,
351,23-25,12,0,1,
352,25,12,1,0,
353,27,12,1,0,
354,27-29,12,0,1,
355,29,12,1,0,
356,31,12,1,0,
357,31-33,12,0,1,
358,33,12,1,0,
